z,population
z017901,4118651.079
z017902,4275493.9781
z017903,5316410.672
z017904,5448619.1244
z017905,3669296.4952
z017906,3826139.3943
z017907,4643548.754
z017908,4775757.2064
z017909,3872275.9056
z017910,4029118.8046
z017911,4805982.7904
z017912,4938191.2428
z017913,4195767.3457
z017914,4352610.2448
z017915,5170019.6045
z017916,5302228.0569
z017917,4386597.0673
z017918,4543439.9663
z017919,5320303.952
z017920,5452512.4044
z017921,1470960.5694
z017922,2042625.8587
z017923,4135503.0352
z017924,4576623.5068
z017925,2994073.8613
z017926,3565739.1505
z017927,4559372.4541
z017928,5000492.9258
z017929,2031806.4337
z017930,2603471.723
z017931,4696348.8995
z017932,5137469.3711
z017933,3511718.0832
z017934,4083383.3724
z017935,5077016.676
z017936,5518137.1476
z017937,2527538.9937
z017938,3097591.7023
z017939,4141310.7677
z017940,4582431.2394
z017941,3455896.2712
z017942,4025948.9798
z017943,4563584.5727
z017944,5004705.0444
z017945,3088384.858
z017946,3658437.5666
z017947,4702156.632
z017948,5143277.1037
z017949,3973540.493
z017950,4543593.2017
z017951,5081228.7946
z017952,5522349.2662
z017953,1994109.0619
z017954,2565774.3512
z017955,4326716.0359
z017956,4767836.5075
z017957,3001951.1532
z017958,3573616.4424
z017959,4564879.9104
z017960,5006000.382
z017961,2520579.9125
z017962,3092245.2017
z017963,4853186.8864
z017964,5294307.3581
z017965,3516272.3148
z017966,4087937.6041
z017967,5079201.072
z017968,5520321.5437
z017969,2811388.1881
z017970,3381440.8967
z017971,4330609.3159
z017972,4771729.7875
z017973,3461084.8888
z017974,4031137.5974
z017975,4568773.1903
z017976,5009893.662
z017977,3337859.0386
z017978,3907911.7473
z017979,4857080.1664
z017980,5298200.6381
z017981,3975406.0504
z017982,4545458.7591
z017983,5083094.352
z017984,5524214.8236
z017985,1957203.1391
z017986,2528868.4283
z017987,4233239.7086
z017988,4674360.1802
z017989,2994073.8613
z017990,3565739.1505
z017991,4559372.4541
z017992,5000492.9258
z017993,2518049.0034
z017994,3089714.2926
z017995,4794085.5729
z017996,5235206.0445
z017997,3511718.0832
z017998,4083383.3724
z017999,5077016.676
z018000,5518137.1476
z018001,2940969.8004
z018002,3511022.509
z018003,4239047.4411
z018004,4680167.9127
z018005,3455896.2712
z018006,4025948.9798
z018007,4563584.5727
z018008,5004705.0444
z018009,3501815.6647
z018010,4071868.3733
z018011,4799893.3054
z018012,5241013.777
z018013,3973540.493
z018014,4543593.2017
z018015,5081228.7946
z018016,5522349.2662
z018017,2362250.2994
z018018,2933915.5886
z018019,4402445.874
z018020,4843566.3456
z018021,3001951.1532
z018022,3573616.4424
z018023,4564879.9104
z018024,5006000.382
z018025,2888721.1499
z018026,3460386.4392
z018027,4928916.7245
z018028,5370037.1961
z018029,3516272.3148
z018030,4087937.6041
z018031,5079201.072
z018032,5520321.5437
z018033,3141677.7919
z018034,3711730.5005
z018035,4406339.1539
z018036,4847459.6256
z018037,3461084.8888
z018038,4031137.5974
z018039,4568773.1903
z018040,5009893.662
z018041,3668148.6424
z018042,4238201.351
z018043,4932810.0045
z018044,5373930.4761
z018045,3975406.0504
z018046,4545458.7591
z018047,5083094.352
z018048,5524214.8236
z018049,1916307.4422
z018050,2073150.3412
z018051,4446186.2737
z018052,4578394.7261
z018053,3439420.734
z018054,3596263.6331
z018055,4870055.6926
z018056,5002264.145
z018057,2477153.3065
z018058,2633996.2055
z018059,5007032.138
z018060,5139240.5904
z018061,3957064.9559
z018062,4113907.855
z018063,5387699.9145
z018064,5519908.3669
z018065,2952740.7863
z018066,3109583.6853
z018067,4451994.0062
z018068,4584202.4586
z018069,3881098.0638
z018070,4037940.9629
z018071,4874267.8112
z018072,5006476.2636
z018073,3513586.6506
z018074,3670429.5496
z018075,5012839.8705
z018076,5145048.3229
z018077,4398742.2857
z018078,4555585.1847
z018079,5391912.0331
z018080,5524120.4855
z018081,2439455.9347
z018082,2596298.8337
z018083,4637399.2744
z018084,4769607.7268
z018085,3447298.0259
z018086,3604140.925
z018087,4875563.1488
z018088,5007771.6012
z018089,2965926.7852
z018090,3122769.6842
z018091,5163870.1249
z018092,5296078.5773
z018093,3961619.1876
z018094,4118462.0866
z018095,5389884.3105
z018096,5522092.7629
z018097,3236589.9807
z018098,3393432.8798
z018099,4641292.5543
z018100,4773501.0067
z018101,3886286.6814
z018102,4043129.5805
z018103,4879456.4288
z018104,5011664.8812
z018105,3763060.8313
z018106,3919903.7303
z018107,5167763.4049
z018108,5299971.8573
z018109,4400607.8431
z018110,4557450.7421
z018111,5393777.5905
z018112,5525986.0429
z018113,2402550.0118
z018114,2559392.9108
z018115,4543922.947
z018116,4676131.3994
z018117,3439420.734
z018118,3596263.6331
z018119,4870055.6926
z018120,5002264.145
z018121,2963395.8761
z018122,3120238.7751
z018123,5104768.8113
z018124,5236977.2637
z018125,3957064.9559
z018126,4113907.855
z018127,5387699.9145
z018128,5519908.3669
z018129,3366171.593
z018130,3523014.4921
z018131,4549730.6795
z018132,4681939.1319
z018133,3881098.0638
z018134,4037940.9629
z018135,4874267.8112
z018136,5006476.2636
z018137,3927017.4573
z018138,4083860.3564
z018139,5110576.5438
z018140,5242784.9962
z018141,4398742.2857
z018142,4555585.1847
z018143,5391912.0331
z018144,5524120.4855
z018145,2807597.1721
z018146,2964440.0712
z018147,4713129.1124
z018148,4845337.5648
z018149,3447298.0259
z018150,3604140.925
z018151,4875563.1488
z018152,5007771.6012
z018153,3334068.0227
z018154,3490910.9217
z018155,5239599.963
z018156,5371808.4154
z018157,3961619.1876
z018158,4118462.0866
z018159,5389884.3105
z018160,5522092.7629
z018161,3566879.5845
z018162,3723722.4836
z018163,4717022.3924
z018164,4849230.8448
z018165,3886286.6814
z018166,4043129.5805
z018167,4879456.4288
z018168,5011664.8812
z018169,4093350.4351
z018170,4250193.3341
z018171,5243493.2429
z018172,5375701.6953
z018173,4400607.8431
z018174,4557450.7421
z018175,5393777.5905
z018176,5525986.0429
z018177,2461666.1001
z018178,3033331.3893
z018179,4135503.0352
z018180,4576623.5068
z018181,3243038.6775
z018182,3814703.9668
z018183,4559372.4541
z018184,5000492.9258
z018185,3022511.9644
z018186,3594177.2536
z018187,4696348.8995
z018188,5137469.3711
z018189,3760682.8994
z018190,4332348.1886
z018191,5077016.676
z018192,5518137.1476
z018193,2899455.7061
z018194,3469508.4147
z018195,4141310.7677
z018196,4582431.2394
z018197,3533818.4201
z018198,4103871.1287
z018199,4563584.5727
z018200,5004705.0444
z018201,3460301.5704
z018202,4030354.279
z018203,4702156.632
z018204,5143277.1037
z018205,4051462.642
z018206,4621515.3506
z018207,5081228.7946
z018208,5522349.2662
z018209,2857577.9119
z018210,3429243.2012
z018211,4326716.0359
z018212,4767836.5075
z018213,3250915.9694
z018214,3822581.2587
z018215,4564879.9104
z018216,5006000.382
z018217,3384048.7625
z018218,3955714.0517
z018219,4853186.8864
z018220,5294307.3581
z018221,3765237.1311
z018222,4336902.4203
z018223,5079201.072
z018224,5520321.5437
z018225,3164183.4063
z018226,3734236.115
z018227,4330609.3159
z018228,4771729.7875
z018229,3539007.0377
z018230,4109059.7463
z018231,4568773.1903
z018232,5009893.662
z018233,3690654.2569
z018234,4260706.9655
z018235,4857080.1664
z018236,5298200.6381
z018237,4053328.1994
z018238,4623380.908
z018239,5083094.352
z018240,5524214.8236
z018241,2698359.7235
z018242,3270025.0127
z018243,4233239.7086
z018244,4674360.1802
z018245,3243038.6775
z018246,3814703.9668
z018247,4559372.4541
z018248,5000492.9258
z018249,3259205.5878
z018250,3830870.877
z018251,4794085.5729
z018252,5235206.0445
z018253,3760682.8994
z018254,4332348.1886
z018255,5077016.676
z018256,5518137.1476
z018257,3135319.6359
z018258,3705372.3445
z018259,4239047.4411
z018260,4680167.9127
z018261,3533818.4201
z018262,4103871.1287
z018263,4563584.5727
z018264,5004705.0444
z018265,3696165.5002
z018266,4266218.2088
z018267,4799893.3054
z018268,5241013.777
z018269,4051462.642
z018270,4621515.3506
z018271,5081228.7946
z018272,5522349.2662
z018273,3029422.1329
z018274,3601087.4222
z018275,4402445.874
z018276,4843566.3456
z018277,3250915.9694
z018278,3822581.2587
z018279,4564879.9104
z018280,5006000.382
z018281,3555892.9835
z018282,4127558.2727
z018283,4928916.7245
z018284,5370037.1961
z018285,3765237.1311
z018286,4336902.4203
z018287,5079201.072
z018288,5520321.5437
z018289,3336027.6273
z018290,3906080.336
z018291,4406339.1539
z018292,4847459.6256
z018293,3539007.0377
z018294,4109059.7463
z018295,4568773.1903
z018296,5009893.662
z018297,3862498.4779
z018298,4432551.1865
z018299,4932810.0045
z018300,5373930.4761
z018301,4053328.1994
z018302,4623380.908
z018303,5083094.352
z018304,5524214.8236
z018305,2907012.9728
z018306,3063855.8719
z018307,4446186.2737
z018308,4578394.7261
z018309,3688385.5503
z018310,3845228.4493
z018311,4870055.6926
z018312,5002264.145
z018313,3467858.8371
z018314,3624701.7362
z018315,5007032.138
z018316,5139240.5904
z018317,4206029.7721
z018318,4362872.6712
z018319,5387699.9145
z018320,5519908.3669
z018321,3324657.4987
z018322,3481500.3977
z018323,4451994.0062
z018324,4584202.4586
z018325,3959020.2127
z018326,4115863.1118
z018327,4874267.8112
z018328,5006476.2636
z018329,3885503.363
z018330,4042346.262
z018331,5012839.8705
z018332,5145048.3229
z018333,4476664.4346
z018334,4633507.3337
z018335,5391912.0331
z018336,5524120.4855
z018337,3302924.7847
z018338,3459767.6837
z018339,4637399.2744
z018340,4769607.7268
z018341,3696262.8422
z018342,3853105.7412
z018343,4875563.1488
z018344,5007771.6012
z018345,3829395.6352
z018346,3986238.5342
z018347,5163870.1249
z018348,5296078.5773
z018349,4210584.0038
z018350,4367426.9029
z018351,5389884.3105
z018352,5522092.7629
z018353,3589385.199
z018354,3746228.098
z018355,4641292.5543
z018356,4773501.0067
z018357,3964208.8304
z018358,4121051.7294
z018359,4879456.4288
z018360,5011664.8812
z018361,4115856.0495
z018362,4272698.9486
z018363,5167763.4049
z018364,5299971.8573
z018365,4478529.992
z018366,4635372.8911
z018367,5393777.5905
z018368,5525986.0429
z018369,3143706.5962
z018370,3300549.4953
z018371,4543922.947
z018372,4676131.3994
z018373,3688385.5503
z018374,3845228.4493
z018375,4870055.6926
z018376,5002264.145
z018377,3704552.4605
z018378,3861395.3596
z018379,5104768.8113
z018380,5236977.2637
z018381,4206029.7721
z018382,4362872.6712
z018383,5387699.9145
z018384,5519908.3669
z018385,3560521.4285
z018386,3717364.3275
z018387,4549730.6795
z018388,4681939.1319
z018389,3959020.2127
z018390,4115863.1118
z018391,4874267.8112
z018392,5006476.2636
z018393,4121367.2928
z018394,4278210.1918
z018395,5110576.5438
z018396,5242784.9962
z018397,4476664.4346
z018398,4633507.3337
z018399,5391912.0331
z018400,5524120.4855
z018401,3474769.0057
z018402,3631611.9047
z018403,4713129.1124
z018404,4845337.5648
z018405,3696262.8422
z018406,3853105.7412
z018407,4875563.1488
z018408,5007771.6012
z018409,4001239.8562
z018410,4158082.7553
z018411,5239599.963
z018412,5371808.4154
z018413,4210584.0038
z018414,4367426.9029
z018415,5389884.3105
z018416,5522092.7629
z018417,3761229.42
z018418,3918072.319
z018419,4717022.3924
z018420,4849230.8448
z018421,3964208.8304
z018422,4121051.7294
z018423,4879456.4288
z018424,5011664.8812
z018425,4287700.2705
z018426,4444543.1696
z018427,5243493.2429
z018428,5375701.6953
z018429,4478529.992
z018430,4635372.8911
z018431,5393777.5905
z018432,5525986.0429
z018433,1215561.3227
z018434,1887485.4986
z018435,3898563.0747
z018436,4439942.433
z018437,2738674.6145
z018438,3410598.7904
z018439,4322432.4937
z018440,4863811.852
z018441,1776407.187
z018442,2448331.3629
z018443,4459408.939
z018444,5000788.2973
z018445,3256318.8364
z018446,3928243.0123
z018447,4840076.7156
z018448,5381456.0738
z018449,2272139.7469
z018450,2942451.3421
z018451,3904370.8073
z018452,4445750.1655
z018453,3200497.0244
z018454,3870808.6196
z018455,4326644.6123
z018456,4868023.9706
z018457,2832985.6112
z018458,3503297.2064
z018459,4465216.6716
z018460,5006596.0298
z018461,3718141.2463
z018462,4388452.8415
z018463,4844288.8341
z018464,5385668.1924
z018465,1738709.8151
z018466,2410633.991
z018467,4089776.0755
z018468,4631155.4337
z018469,2746551.9064
z018470,3418476.0823
z018471,4327939.9499
z018472,4869319.3082
z018473,2265180.6657
z018474,2937104.8416
z018475,4616246.926
z018476,5157626.2843
z018477,3260873.0681
z018478,3932797.2439
z018479,4842261.1116
z018480,5383640.4699
z018481,2555988.9413
z018482,3226300.5366
z018483,4093669.3554
z018484,4635048.7137
z018485,3205685.642
z018486,3875997.2373
z018487,4331833.2299
z018488,4873212.5882
z018489,3082459.7919
z018490,3752771.3871
z018491,4620140.206
z018492,5161519.5642
z018493,3720006.8037
z018494,4390318.3989
z018495,4846154.3916
z018496,5387533.7498
z018497,1701803.8923
z018498,2373728.0682
z018499,3996299.7481
z018500,4537679.1064
z018501,2738674.6145
z018502,3410598.7904
z018503,4322432.4937
z018504,4863811.852
z018505,2262649.7566
z018506,2934573.9325
z018507,4557145.6124
z018508,5098524.9707
z018509,3256318.8364
z018510,3928243.0123
z018511,4840076.7156
z018512,5381456.0738
z018513,2685570.5536
z018514,3355882.1489
z018515,4002107.4806
z018516,4543486.8389
z018517,3200497.0244
z018518,3870808.6196
z018519,4326644.6123
z018520,4868023.9706
z018521,3246416.4179
z018522,3916728.0132
z018523,4562953.3449
z018524,5104332.7032
z018525,3718141.2463
z018526,4388452.8415
z018527,4844288.8341
z018528,5385668.1924
z018529,2106851.0526
z018530,2778775.2285
z018531,4165505.9135
z018532,4706885.2718
z018533,2746551.9064
z018534,3418476.0823
z018535,4327939.9499
z018536,4869319.3082
z018537,2633321.9031
z018538,3305246.079
z018539,4691976.764
z018540,5233356.1223
z018541,3260873.0681
z018542,3932797.2439
z018543,4842261.1116
z018544,5383640.4699
z018545,2886278.5451
z018546,3556590.1404
z018547,4169399.1935
z018548,4710778.5518
z018549,3205685.642
z018550,3875997.2373
z018551,4331833.2299
z018552,4873212.5882
z018553,3412749.3956
z018554,4083060.9909
z018555,4695870.044
z018556,5237249.4023
z018557,3720006.8037
z018558,4390318.3989
z018559,4846154.3916
z018560,5387533.7498
z018561,1660908.1954
z018562,1918009.9811
z018563,4209246.3132
z018564,4441713.6522
z018565,3184021.4873
z018566,3441123.2729
z018567,4633115.7321
z018568,4865583.0712
z018569,2221754.0597
z018570,2478855.8454
z018571,4770092.1775
z018572,5002559.5165
z018573,3701665.7091
z018574,3958767.4948
z018575,5150759.954
z018576,5383227.293
z018577,2697341.5395
z018578,2954443.3252
z018579,4215054.0457
z018580,4447521.3848
z018581,3625698.817
z018582,3882800.6027
z018583,4637327.8507
z018584,4869795.1898
z018585,3258187.4038
z018586,3515289.1895
z018587,4775899.91
z018588,5008367.2491
z018589,4143343.0389
z018590,4400444.8246
z018591,5154972.0726
z018592,5387439.4116
z018593,2184056.6879
z018594,2441158.4736
z018595,4400459.3139
z018596,4632926.6529
z018597,3191898.7791
z018598,3449000.5648
z018599,4638623.1884
z018600,4871090.5274
z018601,2710527.5384
z018602,2967629.3241
z018603,4926930.1645
z018604,5159397.5035
z018605,3706219.9408
z018606,3963321.7265
z018607,5152944.35
z018608,5385411.6891
z018609,2981190.734
z018610,3238292.5196
z018611,4404352.5939
z018612,4636819.9329
z018613,3630887.4346
z018614,3887989.2203
z018615,4642516.4684
z018616,4874983.8074
z018617,3507661.5845
z018618,3764763.3702
z018619,4930823.4444
z018620,5163290.7835
z018621,4145208.5963
z018622,4402310.382
z018623,5156837.63
z018624,5389304.969
z018625,2147150.765
z018626,2404252.5507
z018627,4306982.9866
z018628,4539450.3256
z018629,3184021.4873
z018630,3441123.2729
z018631,4633115.7321
z018632,4865583.0712
z018633,2707996.6293
z018634,2965098.415
z018635,4867828.8509
z018636,5100296.1899
z018637,3701665.7091
z018638,3958767.4948
z018639,5150759.954
z018640,5383227.293
z018641,3110772.3462
z018642,3367874.1319
z018643,4312790.7191
z018644,4545258.0581
z018645,3625698.817
z018646,3882800.6027
z018647,4637327.8507
z018648,4869795.1898
z018649,3671618.2106
z018650,3928719.9962
z018651,4873636.5834
z018652,5106103.9224
z018653,4143343.0389
z018654,4400444.8246
z018655,5154972.0726
z018656,5387439.4116
z018657,2552197.9253
z018658,2809299.711
z018659,4476189.152
z018660,4708656.491
z018661,3191898.7791
z018662,3449000.5648
z018663,4638623.1884
z018664,4871090.5274
z018665,3078668.7759
z018666,3335770.5616
z018667,5002660.0025
z018668,5235127.3415
z018669,3706219.9408
z018670,3963321.7265
z018671,5152944.35
z018672,5385411.6891
z018673,3311480.3377
z018674,3568582.1234
z018675,4480082.432
z018676,4712549.771
z018677,3630887.4346
z018678,3887989.2203
z018679,4642516.4684
z018680,4874983.8074
z018681,3837951.1883
z018682,4095052.974
z018683,5006553.2825
z018684,5239020.6215
z018685,4145208.5963
z018686,4402310.382
z018687,5156837.63
z018688,5389304.969
z018689,2206266.8533
z018690,2878191.0292
z018691,3898563.0747
z018692,4439942.433
z018693,2987639.4307
z018694,3659563.6066
z018695,4322432.4937
z018696,4863811.852
z018697,2767112.7176
z018698,3439036.8935
z018699,4459408.939
z018700,5000788.2973
z018701,3505283.6526
z018702,4177207.8285
z018703,4840076.7156
z018704,5381456.0738
z018705,2644056.4593
z018706,3314368.0545
z018707,3904370.8073
z018708,4445750.1655
z018709,3278419.1733
z018710,3948730.7686
z018711,4326644.6123
z018712,4868023.9706
z018713,3204902.3236
z018714,3875213.9188
z018715,4465216.6716
z018716,5006596.0298
z018717,3796063.3952
z018718,4466374.9905
z018719,4844288.8341
z018720,5385668.1924
z018721,2602178.6651
z018722,3274102.841
z018723,4089776.0755
z018724,4631155.4337
z018725,2995516.7226
z018726,3667440.8985
z018727,4327939.9499
z018728,4869319.3082
z018729,3128649.5157
z018730,3800573.6916
z018731,4616246.926
z018732,5157626.2843
z018733,3509837.8843
z018734,4181762.0602
z018735,4842261.1116
z018736,5383640.4699
z018737,2908784.1596
z018738,3579095.7548
z018739,4093669.3554
z018740,4635048.7137
z018741,3283607.7909
z018742,3953919.3862
z018743,4331833.2299
z018744,4873212.5882
z018745,3435255.0101
z018746,4105566.6053
z018747,4620140.206
z018748,5161519.5642
z018749,3797928.9526
z018750,4468240.5479
z018751,4846154.3916
z018752,5387533.7498
z018753,2442960.4767
z018754,3114884.6526
z018755,3996299.7481
z018756,4537679.1064
z018757,2987639.4307
z018758,3659563.6066
z018759,4322432.4937
z018760,4863811.852
z018761,3003806.341
z018762,3675730.5169
z018763,4557145.6124
z018764,5098524.9707
z018765,3505283.6526
z018766,4177207.8285
z018767,4840076.7156
z018768,5381456.0738
z018769,2879920.3891
z018770,3550231.9843
z018771,4002107.4806
z018772,4543486.8389
z018773,3278419.1733
z018774,3948730.7686
z018775,4326644.6123
z018776,4868023.9706
z018777,3440766.2534
z018778,4111077.8486
z018779,4562953.3449
z018780,5104332.7032
z018781,3796063.3952
z018782,4466374.9905
z018783,4844288.8341
z018784,5385668.1924
z018785,2774022.8861
z018786,3445947.062
z018787,4165505.9135
z018788,4706885.2718
z018789,2995516.7226
z018790,3667440.8985
z018791,4327939.9499
z018792,4869319.3082
z018793,3300493.7367
z018794,3972417.9126
z018795,4691976.764
z018796,5233356.1223
z018797,3509837.8843
z018798,4181762.0602
z018799,4842261.1116
z018800,5383640.4699
z018801,3080628.3806
z018802,3750939.9758
z018803,4169399.1935
z018804,4710778.5518
z018805,3283607.7909
z018806,3953919.3862
z018807,4331833.2299
z018808,4873212.5882
z018809,3607099.2311
z018810,4277410.8264
z018811,4695870.044
z018812,5237249.4023
z018813,3797928.9526
z018814,4468240.5479
z018815,4846154.3916
z018816,5387533.7498
z018817,2651613.726
z018818,2908715.5117
z018819,4209246.3132
z018820,4441713.6522
z018821,3432986.3035
z018822,3690088.0892
z018823,4633115.7321
z018824,4865583.0712
z018825,3212459.5903
z018826,3469561.376
z018827,4770092.1775
z018828,5002559.5165
z018829,3950630.5254
z018830,4207732.311
z018831,5150759.954
z018832,5383227.293
z018833,3069258.2519
z018834,3326360.0376
z018835,4215054.0457
z018836,4447521.3848
z018837,3703620.966
z018838,3960722.7516
z018839,4637327.8507
z018840,4869795.1898
z018841,3630104.1162
z018842,3887205.9019
z018843,4775899.91
z018844,5008367.2491
z018845,4221265.1878
z018846,4478366.9735
z018847,5154972.0726
z018848,5387439.4116
z018849,3047525.5379
z018850,3304627.3236
z018851,4400459.3139
z018852,4632926.6529
z018853,3440863.5954
z018854,3697965.3811
z018855,4638623.1884
z018856,4871090.5274
z018857,3573996.3884
z018858,3831098.1741
z018859,4926930.1645
z018860,5159397.5035
z018861,3955184.757
z018862,4212286.5427
z018863,5152944.35
z018864,5385411.6891
z018865,3333985.9522
z018866,3591087.7379
z018867,4404352.5939
z018868,4636819.9329
z018869,3708809.5836
z018870,3965911.3693
z018871,4642516.4684
z018872,4874983.8074
z018873,3860456.8027
z018874,4117558.5884
z018875,4930823.4444
z018876,5163290.7835
z018877,4223130.7452
z018878,4480232.5309
z018879,5156837.63
z018880,5389304.969
z018881,2888307.3494
z018882,3145409.1351
z018883,4306982.9866
z018884,4539450.3256
z018885,3432986.3035
z018886,3690088.0892
z018887,4633115.7321
z018888,4865583.0712
z018889,3449153.2137
z018890,3706254.9994
z018891,4867828.8509
z018892,5100296.1899
z018893,3950630.5254
z018894,4207732.311
z018895,5150759.954
z018896,5383227.293
z018897,3305122.1817
z018898,3562223.9674
z018899,4312790.7191
z018900,4545258.0581
z018901,3703620.966
z018902,3960722.7516
z018903,4637327.8507
z018904,4869795.1898
z018905,3865968.046
z018906,4123069.8317
z018907,4873636.5834
z018908,5106103.9224
z018909,4221265.1878
z018910,4478366.9735
z018911,5154972.0726
z018912,5387439.4116
z018913,3219369.7589
z018914,3476471.5446
z018915,4476189.152
z018916,4708656.491
z018917,3440863.5954
z018918,3697965.3811
z018919,4638623.1884
z018920,4871090.5274
z018921,3745840.6094
z018922,4002942.3951
z018923,5002660.0025
z018924,5235127.3415
z018925,3955184.757
z018926,4212286.5427
z018927,5152944.35
z018928,5385411.6891
z018929,3505830.1732
z018930,3762931.9589
z018931,4480082.432
z018932,4712549.771
z018933,3708809.5836
z018934,3965911.3693
z018935,4642516.4684
z018936,4874983.8074
z018937,4032301.0237
z018938,4289402.8094
z018939,5006553.2825
z018940,5239020.6215
z018941,4223130.7452
z018942,4480232.5309
z018943,5156837.63
z018944,5389304.969
z018945,1307494.2474
z018946,1979418.4233
z018947,3972036.7132
z018948,4513416.0715
z018949,2830607.5393
z018950,3502531.7152
z018951,4395906.1321
z018952,4937285.4904
z018953,1868340.1117
z018954,2540264.2876
z018955,4532882.5775
z018956,5074261.9358
z018957,3348251.7612
z018958,4020175.937
z018959,4913550.354
z018960,5454929.7123
z018961,2364072.6716
z018962,3034384.2669
z018963,3977844.4457
z018964,4519223.804
z018965,3292429.9492
z018966,3962741.5444
z018967,4400118.2507
z018968,4941497.609
z018969,2924918.536
z018970,3595230.1312
z018971,4538690.31
z018972,5080069.6683
z018973,3810074.171
z018974,4480385.7663
z018975,4917762.4726
z018976,5459141.8309
z018977,1830642.7399
z018978,2502566.9158
z018979,4163249.7139
z018980,4704629.0722
z018981,2838484.8312
z018982,3510409.0071
z018983,4401413.5883
z018984,4942792.9466
z018985,2357113.5904
z018986,3029037.7663
z018987,4689720.5644
z018988,5231099.9227
z018989,3352805.9928
z018990,4024730.1687
z018991,4915734.75
z018992,5457114.1083
z018993,2647921.8661
z018994,3318233.4613
z018995,4167142.9939
z018996,4708522.3521
z018997,3297618.5668
z018998,3967930.162
z018999,4405306.8683
z019000,4946686.2266
z019001,3174392.7166
z019002,3844704.3119
z019003,4693613.8444
z019004,5234993.2027
z019005,3811939.7284
z019006,4482251.3237
z019007,4919628.03
z019008,5461007.3883
z019009,1793736.817
z019010,2465660.9929
z019011,4069773.3866
z019012,4611152.7448
z019013,2830607.5393
z019014,3502531.7152
z019015,4395906.1321
z019016,4937285.4904
z019017,2354582.6813
z019018,3026506.8572
z019019,4630619.2509
z019020,5171998.6091
z019021,3348251.7612
z019022,4020175.937
z019023,4913550.354
z019024,5454929.7123
z019025,2777503.4784
z019026,3447815.0736
z019027,4075581.1191
z019028,4616960.4774
z019029,3292429.9492
z019030,3962741.5444
z019031,4400118.2507
z019032,4941497.609
z019033,3338349.3427
z019034,4008660.9379
z019035,4636426.9834
z019036,5177806.3417
z019037,3810074.171
z019038,4480385.7663
z019039,4917762.4726
z019040,5459141.8309
z019041,2198783.9774
z019042,2870708.1533
z019043,4238979.5519
z019044,4780358.9102
z019045,2838484.8312
z019046,3510409.0071
z019047,4401413.5883
z019048,4942792.9466
z019049,2725254.8279
z019050,3397179.0038
z019051,4765450.4025
z019052,5306829.7608
z019053,3352805.9928
z019054,4024730.1687
z019055,4915734.75
z019056,5457114.1083
z019057,2978211.4699
z019058,3648523.0651
z019059,4242872.8319
z019060,4784252.1902
z019061,3297618.5668
z019062,3967930.162
z019063,4405306.8683
z019064,4946686.2266
z019065,3504682.3204
z019066,4174993.9157
z019067,4769343.6825
z019068,5310723.0407
z019069,3811939.7284
z019070,4482251.3237
z019071,4919628.03
z019072,5461007.3883
z019073,1752841.1202
z019074,2009942.9059
z019075,4282719.9516
z019076,4515187.2907
z019077,3275954.412
z019078,3533056.1977
z019079,4706589.3706
z019080,4939056.7096
z019081,2313686.9845
z019082,2570788.7702
z019083,4843565.8159
z019084,5076033.155
z019085,3793598.6339
z019086,4050700.4196
z019087,5224233.5925
z019088,5456700.9315
z019089,2789274.4643
z019090,3046376.25
z019091,4288527.6842
z019092,4520995.0232
z019093,3717631.7418
z019094,3974733.5275
z019095,4710801.4892
z019096,4943268.8282
z019097,3350120.3286
z019098,3607222.1143
z019099,4849373.5485
z019100,5081840.8875
z019101,4235275.9637
z019102,4492377.7494
z019103,5228445.711
z019104,5460913.0501
z019105,2275989.6126
z019106,2533091.3983
z019107,4473932.9524
z019108,4706400.2914
z019109,3283831.7039
z019110,3540933.4896
z019111,4712096.8268
z019112,4944564.1658
z019113,2802460.4632
z019114,3059562.2489
z019115,5000403.8029
z019116,5232871.1419
z019117,3798152.8656
z019118,4055254.6513
z019119,5226417.9885
z019120,5458885.3275
z019121,3073123.6587
z019122,3330225.4444
z019123,4477826.2323
z019124,4710293.5714
z019125,3722820.3594
z019126,3979922.1451
z019127,4715990.1068
z019128,4948457.4458
z019129,3599594.5093
z019130,3856696.2949
z019131,5004297.0829
z019132,5236764.4219
z019133,4237141.5211
z019134,4494243.3068
z019135,5230311.2685
z019136,5462778.6075
z019137,2239083.6898
z019138,2496185.4755
z019139,4380456.625
z019140,4612923.9641
z019141,3275954.412
z019142,3533056.1977
z019143,4706589.3706
z019144,4939056.7096
z019145,2799929.5541
z019146,3057031.3398
z019147,4941302.4893
z019148,5173769.8284
z019149,3793598.6339
z019150,4050700.4196
z019151,5224233.5925
z019152,5456700.9315
z019153,3202705.271
z019154,3459807.0567
z019155,4386264.3575
z019156,4618731.6966
z019157,3717631.7418
z019158,3974733.5275
z019159,4710801.4892
z019160,4943268.8282
z019161,3763551.1353
z019162,4020652.921
z019163,4947110.2218
z019164,5179577.5609
z019165,4235275.9637
z019166,4492377.7494
z019167,5228445.711
z019168,5460913.0501
z019169,2644130.8501
z019170,2901232.6358
z019171,4549662.7904
z019172,4782130.1294
z019173,3283831.7039
z019174,3540933.4896
z019175,4712096.8268
z019176,4944564.1658
z019177,3170601.7007
z019178,3427703.4863
z019179,5076133.641
z019180,5308600.98
z019181,3798152.8656
z019182,4055254.6513
z019183,5226417.9885
z019184,5458885.3275
z019185,3403413.2625
z019186,3660515.0482
z019187,4553556.0704
